DCS	SH
sPAyay	sPA
arXay	qX
swAray	swQ
sAvay	su
XAyay	XI
goray	gur
hnAvay	hnu
sAnay	san
IkRay	IkR
Sveway	Sviw
vraScay	vraSc
soray	sur
eRay	iR
kIlay	kIl
SvAsay	Svas
arRay	qR
lAlay	lal
wamay	wam
oRay	uR
SlAGay	SlAG
SAsay	Sas
manxay	manx
SoRay	SuR
Atay	at
kramay	kram
rApay	rA
BAray	Bq
mexay	mix
xevay	xev
guNTay	guNT
ocay	uc
guNday	guNd
kleSay	kliS
kala	kal
kAlay	kal
lokay	lok
mApay	i
BI	vyaW
cyuw	cyu
cyoway	cyu
sApay	sap
syanxay	syanx
nAxay	nax
hikkay	hikk
rakRay	rakR
krIday	krId
yAsay	yas
ISay	IS
vejay	vij
pANay	paN
Axay	ax
wvaray	wvar
BANay	BaN
Pullay	Pull
vyAyay	vyA
hrAxay	hrAx
pAcay	pac
xrohay	xruh
krApay	krI
xURay	xuR
Uhay	Uh
pAlay	pA
xehay	xih
pAWay	paW
vAyay	i
xrAGay	xrAG
snohay	snuh
coxay	cux
yucCay	yu
grAhay	grah
leSay	liS
kRepay	kRip
SoXay	SuX
Xvanay	Xvan
KAnay	Kan
mArgay	mArg
hlAxay	hlAx
xyoway	xyuw
jApay	jap
SAray	SQ
Siyjay	Siyj
SikRay	SikR
Carxay	Cqx
bAXay	bAX
vyaWay	vyaW
prAvay	pru
wsAray	wsar
GrApay	GrA
jvAlay	jval
skanxay	skanx
vAlay	val
pAvay	pU
kruX	ruh
kroXay	kruX
Anay	an
pracC	praS
gUhay	guh
vApay	i
as	aFj
Asay	As
inxay	inx
woRay	wuR
svq	svar
svAray	svar
warhay	wqh
marxay	mqx
IfKay	IfK
SvAyay	SU
kSApay	cakR
vyAcay	vyac
kroSay	kruS
garhay	garh
reRay	riR
kRoxay	kRux
uC	uyC
mUrCay	mUrC
wAray	yA
canxay	canx
vakRay	vakR
leKay	liK
sevay	sIv
xohay	xuh
SASay	SaS
Coray	Cur
klamay	klam
sUxay	sUx
Banxay	Banx
BraMSay	BraMS
hrepay	hrI
glApay	glE
rAvay	ru
niyj	nij
niyjay	nij
kawWay	kawW
noxay	nux
kQw	kIrw
kIrway	kIrw
melay	il
lApay	lap
invay	inv
xa	xas
xAsay	xas
kAray	kq
nAWay	nAW
kalpay	kLp
kRoBay	kRuB
kvANay	kvaN
jIvay	yA
lAvay	lU
janay	jan
sparXay	sparX
kruycay	kruyc
KAxay	KAx
hApay	hA
gumPay	gumP
xIkRay	xIkR
yApay	i
luycay	luyc
kAsay	kAs
gAxay	gax
minx	mix
minxay	mix
lajjay	lajj
sKAlay	sKal
XApay	XA
mArjay	mqj
Away	aw
roxay	rux
ninxay	ninx
rAxay	rax
boXay	buX
lAyCay	lAyC
warkay	wark
lafgay	lafg
xrAvay	xru
Bexay	Bix
wrApay	wrE
XyApay	XyA
warxay	wqx
wolay	wul
nAvay	nu
pAxay	pax
KyApay	KyA
kRNAvay	kRNu
yABay	jaB
kuNTay	kuNT
veXay	viX
xAvay	xu
xApay	xap
kolay	kul
lehay	lih
sPoray	sPur
rohay	ruh
Urjay	Urj
vrIday	vrId
plAvay	plu
afgay	afg
Ihay	Ih
narway	nqw
snehay	snih
nAhay	nah
prApay	i
vAnay	van
sUca	sUc
sUcay	sUc
garXay	gqX
nAyay	i
kARay	kaR
cAway	caw
gAhay	gAh
roXay	ruX
kampay	kamp
gApay	gA
majjay	majj
mehay	mih
lopay	lup
Cexay	Cix
loTay	luT
kvAWay	kvaW
Barwsay	Barws
hvAyay	hU
snAvay	snu
xarSay	xqS
xIpay	xIp
jalpay	jalp
marSay	mqS
BApay	BA
kRampay	kRap
karSay	kqS
lepay	lip
klexay	klix
mIlay	mIl
ceRtay	ceRt
coray	cur
sraMsay	sraMs
hAvay	hu
vAhay	vah
jinvay	jinv
IrRy	IrR
IrRyay	IrR
spqhay	spqh
kAvay	kU
arpay	q
xarhay	xqh
kaWay	kaW
BURay	BUR
XAray	Xq
vexay	vix
pUray	pQ
Iray	Ir
Bojay	Buj
vAray	vq
SAmay	Sam
IRay	iR
yojay	yuj
viBURay	viBUR
aFcay	AFc
varjay	vqj
BAvay	BU
nivexay	nivix
preRay	preR
prajvAlay	prajval
niveSay	niviS
prayojay	prayuj
prakASay	prakAS
uwsarjay	uwsqj
vimarxay	vimqx
parivAray	parivq
prayojay	prayuj
pariBURay	pariBUR
saMyamay	yam
vivarway	vivqw
sWApay	sWA
unnAmay	unnam
vivarjay	vivqj
Amoxay	amux
viRtamBay	viRtamB
upaSoBay	upaSuB
pracCAxay	pracCax
kopay	kup
raFjay	raFj
vivarXay	vivqX
upapAxay	upapax
samBAvay	samBU
awipAway	awipaw
aBiwAday	aBiwad
uxvejay	uxvij
upayojay	upayuj
sAXay	siX
pariBAvay	pariBU
gAlay	gQ
viSoRay	viSuR
avacAray	avacar
BakRay	BakR
paripAcay	paripac
awiwarpay	awiwqp
preray	prer
vyaFjay	vyaFj
uxIray	uxIr
uxvarway	uxvqw
pAway	paw
vixAray	vixQ
anuvAsay	anuvas
avamAnay	avaman
aBipravarXay	aBipravqX
vyApAxay	vyApax
kuFcay	kuc
sammA	kuc
upaveSay	upaviS
prasAray	prasq
avanAmay	avanam
nipAway	nipaw
nivAray	nivq
nimIlay	nimIl
samarpay	samq
AvApay	Avap
uwpAcay	uwpac
prapeRay	prapeR
pariSeRay	pariSiR
parisrAvay	parisru
avaSeRay	avaSiR
parivarjay	parivqj
wApay	wap
viBAvay	viBU
vipAcay	vipac
uccAray	uccar
bqMhay	bqh
AsvAxay	Asvax
apamAnay	apaman
unnAxay	unnax
pariveRtay	pariveRt
awisnehay	awisnih
sanXukRay	sanXukR
uwkleSay	uwkliS
virecay	viric
niyojay	niyuj
awyASay	awyaS
samprayojay	samprayuj
vikalpay	vikLp
praharRay	prahqR
awivirecay	awiric
CAxay	Cax
pracCA	praS
xarpay	xqp
sarpay	sqp
parixAhay	parixah
sampAxay	sampax
pAtay	pat
niRecay	niRic
warpay	wqp
aFjay	aFj
saMvAsay	saMvas
uxGAtay	uxGat
pariSoRay	pariSuR
warjay	warj
SeRay	iR
sanxURay	sanxuR
avawAray	avawQ
niKAnay	niKan
nirvApay	nirvap
lafGay	lafG
avasecay	avasic
aBimUrC	aBimUrC
vikampay	vikamp
praxarSay	praxqS
vAmay	vam
nixarSay	nixqS
saMharRay	saMhqR
viBAjay	viBaj
BAjay	Baj
viSoXay	viSuX
praWay	praW
wrotay	wrut
poRay	puR
uwpAxay	uxpax
varway	vqw
Avarway	Avqw
vivAhay	vivah
prakASay	prakAS
unmIl	unmIl
viXAray	viXq
kRapay	kRI
parivarway	parivqw
AcCAxay	AcCax
swamBay	swamB
prasAXay	prasiX
nAmay	nam
aBiGAway	aBiGaw
prawiBojay	prawiBuj
wrAsay	wras
parikalpay	parikLp
avasvAxay	avasvax
varXay	vqX
sAxay	sax
uxAvarway	uxAvqw
vAsay	vas
viyojay	viyuj
praxIpay	praxIp
upasAXay	upasiX
SIlay	SIl
pravAhay	pravah
sammarxay	sammqx
saMyojay	saMsazyuj
saMSoXay	saMSuX
vikarRay	vikqR
avaBAsay	avaBAs
praxURay	praxuR
prawisAray	prawisq
pravarXay	pravqX
vileKay	viliK
maNday	maNd
mocay	muc
pracoxay	pracux
viroXay	viruX
samboXay	sambuX
aByarcay	aBiqc
uxBAvay	uxBU
samuwpAxay	samuwpax
pravarway	pravqw
vivecay	vivic
prawipAxay	prawipax
pariNAmay	pariNam
uwwejay	uwwij
viSrAmay	viSram
arjay	qj
anuraFjay	anuraFj
uwwAray	uwwQ
nirvarway	nirvqw
prasvApay	prasvap
Gatay	Gat
samarcay	samqc
Avexay	Avix
saMsWApay	saMsWAp
AveSay	AviS
samuxIray	samuxIr
vikAsay	vikas
samAveSay	samAviS
vicAray	vicar
pariGAtay	pariGat
sWagay	sWag
samAveSay	samAviS
ArAXay	ArAX
AjFApay	AjFA
vinAxay	vinax
SoBay	SuB
aBiRecay	aBiRic
cAray	car
prINay	prI
praBAvay	praBU
sanxarSay	sanxqS
vimAnay	viman
samprakASay	samprakAS
uwpAtay	uwpat
upakalpay	upakLp
sampUray	sampQ
avaxohay	avaxuh
ullAsay	ullas
nirUpay	nirUp
paripUray	paripQ
pariRev	pariRIv
samanuvqw	samanuvqw
pariwApay	pariwap
vimohay	vimuh
pariswq	pariswQ
pariwoRay	pariwuR
avaXAray	avaXq
saMveRtay	saMveRt
SleRay	SliR
cAlay	cal
saFcAlay	saFcal
safkalpay	safkLp
AjFapay	AjFA
aXyApay	aXI
visarjay	visqj
prawixURay	prawixuR
upArjay	upArj
vinASay	vinaS
vyAvarway	vyAvqw
upabqMhay	upabqh
vAxay	vax
viSeRay	viSiR
uxvqw	uxvqw
saFcoxay	saFcux
paribqMhay	bqh
anumoxay	anumux
sammohay	sammuh
pramqj	pramqj
anuvarway	anuvqw
aBivAxay	aBivax
iRay	iR
sammArjay	sammqj
upasarjay	upasqj
sampreRay	sampreR
vaFcay	vaFc
anuBAvay	anuBU
avaropay	avarup
samAropay	samArup
nyAsay	nyas
aBiniveSay	aBiniviS
vimarSay	vimqS
vixURay	vixuR
rocay	ruc
aBicoxay	aBicux
prawiboXay	prawibuX
uxxIpay	uxxIp
viBaj	viBaj
niryApay	niryAp
smAray	smq
vijFApay	vijFA
Ayay	i
ucCeRay	ucCiR
vyuwpAxay	vyuwpax
prasAxay	prasax
SrAvay	Sru
XarRay	XqR
mAnay	man
apavarjay	apavqj
aBipraC	aBipraS
saMlAlay	saMlal
anukamp	anukamp
ApAxay	Apax
safgrAhay	safgrah
upalAlay	upalal
ApUray	ApQ
vixyoway	vixyuw
upalamBay	upalaB
saMsmAray	saMsmq
vixrAvay	vixrav
vimUrCay	vimUrC
anucinway	anucinw
vinivarway	vinivqw
aBimarSay	aBimqS
upasAxay	upasvax
aByarc	aBiqc
upAsvAxay	upasvax
viXvaMsay	viXvaMs
niRpAxay	niRpax
saFjFApay	saFjFAp
ramay	ram
praxyoway	praxyuw
praveSay	praviS
anuvraj	anuvraj
niryAway	niryA
anulepay	anulip
praXAray	praXA
ullafGay	ullafG
anumux	anumux
prawixeSay	prawixiS
Kexay	Kix
SAway	Sax
aBimohay	aBimuh
gopay	gup
AhlAxay	AhlAx
uwWApay	uwWA
saMlepay	saMlip
niroXay	niruX
krAmay	kram
aBiGAray	aBiGq
AvAsay	Avas
safkRoBay	safkRuB
aBIR	aBiqc
varay	vq
praboXay	prabuX
awiBAvay	awiBav
harRay	hqR
paripeRay	paripiR
moxay	mux
parilepay	parilip
nivApay	nivap
AveRtay	AveRt
anusAray	anusq
prawivApay	prawivap
aBiraFjay	aBiraFj
apahAray	apahq
aBiwarpay	aBiwqp
Amanwray	Amanwq
roRay	ruR
loBay	luB
saMspqS	saMspqS
pariharRay	parihqR
paripAlay	paripA
jaray	jQ
aBirocay	aBiruc
AnAyay	AnI
anunAxay	anunax
prasWApay	prasWA
sammAnay	samman
saMvarXay	saMvqX
praXarRay	praXqR
nivarway	nivqw
anuvqw	anuvqw
ApracC	ApraS
vivAsay	vivas
sanwApay	sanwap
aBikAfkR	aBikAfkR
prahlAxay	prahlAx
parimaNday	parimaNd
samAjFapay	samAjFA
sanwAray	sanwQ
ropay	ruh
aBiyAc	aFc
anupAlay	anupA
pravAsay	pravas
Canxay	Canx
ninAxay	ninax
prawinAxay	prawinax
AXarRay	AXqR
vinipAway	vinipaw
apavAhay	apavah
parimohay	parimuh
pariwuR	pariwuR
aBiyojay	aBiyuj
Socay	Suc
AvAray	Avq
anuveRtay	anuveRt
praBraMSay	praBraMS
sampravarway	sampravqw
upasWApay	upasWAp
saFCAxay	saFCax
sannAxay	sannax
praNASay	praNaS
sanniveSay	sanniviS
parivarXay	parivqX
aBiSoBay	aBiSuB
ujjval	ujjval
parimArjay	parimqj
aBinAxay	aBinax
anukarSay	anukqS
viSvAsay	viSvas
prakopay	prakup
saMvarway	saMvqw
aBikarSay	aBikqS
marRay	mqR
prawivexay	prawivix
AsPotay	asPut
awixarpay	awixqp
aBivAray	aBivq
aBiprasAxay	aBiprasax
aBipAlay	aBipA
uwsAxay	uwsax
prawiraFjay	prawiraFj
apapoWay	apapuW
viboXay	buX
paryavasWApay	paryavasWAp
poWay	puW
vimocay	vimuc
XvaMsay	XvaMs
BrAmay	Bram
prajvAlay	prajval
parimUrCay	parimUrC
aBipAway	aBipaw
prawyavapAway	prawyavapaw
sammArjay	sammqj
upaXAray	upaXq
AmarRay	AmqR
lamBay	lamB
saBAjay	saBaj
cyAvay	cyu
viSrAvay	viSru
prawivAray	prawivq
SApay	Sap
sajjay	saFj
upaveSay	upaviS
vyavasWApay	vyavasWAp
parisarpay	parisqp
upaGAway	upahan
praSamay	praSam
parimarxay	parimqx
parivApay	parivap
nimajjay	nimajj
recay	ric
niXApay	niXA
parisAXay	parisiX
vilepay	vilip
aBiveRtay	aBiveRt
ceway	ciw
anusAXay	anusiX
pariSoXay	pariSuX
parigAlay	parigQ
AboXay	AbuX
ujjvalay	ujjval
anumuh	anumuh
saFjIvay	saFjIv
aBipracoxay	aBipracux
anuxarSay	anuxqS
veRay	viR
pariBakRay	pariBakR
paricoxay	paricux
aBisampravarway	aBisampravqw
vixIpay	vixIp
prawApay	prawap
sanniyojay	sanniyuj
praNoxay	praNux
pariSoBay	pariSuB
uxxyoway	uxxyuw
aBisamIray	aBisamIr
aBikAmay	aBikam
GoRay	GuR
Acar	rA
aBivarXay	aBivqX
sanXAray	sanXq
avaboXay	avabuX
aByanumoxay	aByanumux
AvAhay	Avah
samASvAsay	samASvas
arWay	arW
aByuxIray	aByuxIr
pravAxay	pravax
safkrAmay	safkram
xAhay	xah
vipramohay	vipramuh
aXiropay	aXiruh
jFApay	jFAp
pariwarkay	pariwark
vilopay	vilup
saMvAxay	saMvax
vijFapay	vijFA
parinanx	parinanx
viniyojay	viniyuj
aBimAnay	aBiman
prawyarcay	prawiqc
prawyarpay	prawiq
saMvye	SuB
vicinway	vicinw
pAray	pq
prawivAsay	prawivas
anuSocay	anuSuc
vikRoBay	vikRuB
avamarxay	avamqx
vipravAsay	vipravas
upawApay	upawap
sannipAway	sannipaw
aBiwoRay	aBiwuR
pariwarpay	pariwqp
upaSAmay	upaSam
samAsAxay	samAsax
saFjanay	saFjan
vivAxay	vivax
viloBay	viluB
vigarhay	vigarh
niHsAray	niHsq
parixevay	parixev
saMlakRay	saMlakR
prawyavaropay	prawyavaruh
prawipAlay	prawipA
parimocay	parimuc
samAcakR	samAcakR
AkAray	Akq
aBiXyE	XyA
viBrAmay	viBram
anumAnay	anumAn
avaxAray	avaxQ
aBiwApay	aBiwap
Avarjay	Avqj
pramohay	pramuh
viGAtay	viGat
avapoWay	avapuW
Anarway	Anqw
viKyApay	viKyA
aBikalpay	aBikLp
avagAh	avagAh
niSAmay	Sam
praSAmay	praSam
uxXarRay	uxXqR
pramocay	pramuc
paryavaropay	paryavaruh
prapAway	prapaw
prahAray	prahq
yAway	yaw
prawiyAway	prawiyaw
aBiBURay	aBiBUR
aparAXay	aparAX
saMveSay	saMviS
saMrakR	saMrakR
samprajFA	samprajFA
kRamay	kRam
samapavarjay	samapavqj
prawimohay	prawimuh
anukalpay	anukLp
AplAvay	Aplu
uwwApay	uwwap
AxeSay	AxiS
sampUjay	sampUj
AxIpay	AxIp
vicAlay	vical
AsvAxay	Asvax
AyAsay	Ayas
parikarSay	parikqS
apasarpay	apasqp
parikopay	parikup
anupraveSay	anupraviS
vyuwWApay	vyuwWA
samprajvAlay	samprajval
parikAlay	parikal
sanwoRay	sanwuR
prawigAlay	prawigQ
pariplAvay	pariplu
uxxeSay	uxxiS
nirvAhay	nirvah
pracAlay	pracal
ujjvAlay	ujjval
prawimAnay	prawiman
sannAmay	sannam
vepay	vip
aBinivexay	aBinivix
vinoxay	vinux
awiropay	awiruh
Akampay	Akamp
nivAsay	nivas
AmIlay	AmIl
saMlApay	saMllap
prawijFApay	prawijFA
samAvAsay	samAvas
pramAxay	pramax
apasAray	apasq
parivaFcay	parivaFc
pracAray	pracar
anuwApay	anuwap
Ayojay	Ayuj
aBiwarjay	aBiwarj
aBirAmay	aBiram
pariKexay	pariKix
saMvAhay	saMvah
uxyamay	uxyam
niyamay	niyam
aXiveRtay	aXiveRt
parigamay	parigam
maxay	max
saMsAXay	saMsiX
vismAray	vismq
pariSamay	pariSam
viSramay	viSram
GAtay	Gat
prASay	prAS
upanAxay	upanax
samanuSoBay	samanuSuB
aswafgamay	aswafgam
viSleRay	viSliR
ucCvAsay	ucCvas
upanAmay	upanam
saMskAray	saMskq
safkAray	safkq
viBexay	viBix
aBipUray	aBipQ
uparoXay	uparuX
upavAsay	upavas
yAcay	yA
sarjay	sqj
varRay	vqR
anveRay	anviR
uxvAhay	uxvah
safkaWay	safkaW
anusev	anusIv
prakRepay	prakRip
niRkAsay	niRkAs
aBivimarxay	aBivimqx
Alepay	Alip
ucCAxay	ucCax
avasajjay	avasaFj
aBimanwray	aBimanwr
sanxrAvay	sanxru
anucoxay	anucux
upaxarSay	upaxqS
AhAray	Ahq
prawiwAday	prawiwad
prawipAway	prawipaw
samArAXay	samArAX
anupraxarSay	anupraxqS
praNI	pranI
AsAray	Asq
apaveRtay	apaveRt
parivAhay	parivah
vijijiFAs	vijijFA
wejay	wij
parivraj	parivraj
sanwarpay	sanwqp
Asev	AsIv
awivAhay	awivah
anvAXA	anvah
aBimarRay	aBimqR
prowsAhay	prowsah
samucCvAsay	samucCvAs
samAvarjay	samAvqj
upaniveSay	upaniviS
viparivarway	viparivqw
sPotay	sPut
parisKal	sKal
prasU	prasU
aBiSrAvay	aBiSru
proccAray	proccar
Ananxay	Ananx
anupraXAvay	anupraXAv
unmAxay	unmax
aBinoxay	aBinux
anuXAv	anuXAv
AceRt	AceRt
anuBU	anuBU
awivarway	awivqw
prakRapay	prakRI
piXApay	piXA
nirXAray	nirXq
samprINay	samprI
aparaFjay	aparaFj
aBivyaFjay	aBivyaFj
uxBAsay	uxBAs
samuwpAtay	samuwpat
vilajj	vilajj
prawAray	prawQ
aBiniyojay	aBiniyuj
apagamay	apagam
AkrId	AkrId
uwsAhay	uwsah
saFcar	saFcar
prasWA	prasWA
sanwyAjay	sanwyaj
hAsay	has
niRkramay	niRkram
jijFAs	jFA
sanniXApay	sanniXA
Agamay	Agam
aBivAsay	aBivAs
prAN	prAn
parisaMsWApay	parisaMsWA
nirgamay	nirgam
lAsay	lAs
anusqp	anusqp
aBilaR	aBilaR
svAxay	svAx
vipAxay	vipax
wAnay	wan
anuSIlay	anuSIl
upahAsay	upahAs
uwprekR	uwprekR
parihq	parihq
viSafk	viSafk
samprasAray	samprasq
apakramay	apakram
prawiBAvay	prawiav
pravivecay	parivivic
wanmayIBAvay	wanmayIBU
samuwwejay	samuwwij
prawiyojay	prawiyuj
unmApay	unmA
prakRAlay	prakRal
aBisarjay	aBisqj
paricAlay	parical
Amreday	Amred
ABajay	ABaj
aBiprAN	aBiprAn
awilafGay	awilafG
upavAhay	upavah
saFcAray	saFcar
nirvA	vA
uwkRip	xqS
uwwamBay	swamB
yanwray	XqR
safGatay	Gat
uwwamB	q
prasax	sax
praviR	iR
aXyUh	Uh
aBisaminX	inX
paripoRay	puR
samupAgam	gam
vinimIlay	il
vismq	praW
prawyASrAvay	Sru
anvAruh	Uh
anvAvqw	vqw
aBiGrA	GrA
saMvas	vas
sanwAday	wad
samullAsay	las
jvalay	jval
saminX	inX
lIlAy	i
prahi	hi
BqfgAy	i
samaByarcay	qc
sanxehay	xih
SiKAy	i
viGatay	viGat
anuprAN	an
valay	val
puFjaray	jQ
hvA	hU
AviRkq	kq
awiman	man
apahnu	hnu
upabrU	brU
qC	q
nipreR	iR
parihi	hi
SuB	SumB
unmaxay	max
manwray	manwr
samuxXq	hq
svIkq	kq
alafkq	praW
anupreRay	iR
prawyAhq	rA
nirxiS	vix
uparaFjay	raFj
virakwIkq	pax
luNTay	luNT
vikAray	vikq
upajan	jan
AroRay	ruR
AlI	sammUrC
avabuX	buX
vyavaBAsay	BAs
apavarway	vqw
anusanxiS	xiS
acCAvax	xA
sIvay	sIv
saFjFapay	jFA
aBye	i
aBiXAv	XAv
apinah	nah
paryAvqw	vqw
aByAvqw	vqw
rAXay	rAX
aXiXA	iR
aBInX	inX
anvi	i
Avax	xA
vipaS	paS
viKan	Kan
vyAkq	kq
AxarSay	xqS
prajFapay	prajFA
aXivAsay	vas
upasampAxay	upasampax
samanupaS	paS
parinirvApay	vA
parikIrway	parikIrw
parixIpay	xIp
prawibAX	bAX
prawyanuBU	BU
saFji	ji
anvAraB	raB
prawyupasWApay	i
avawq	rA
prawiSAmay	Sam
anuprayam	yam
praGAway	han
pravraj	vraj
Arocay	ruc
uwsarpay	lafG
paricAray	car
uxGatay	Gat
saMhAray	hq
anupraxApay	xA
anupreray	Ir
ucCoRay	SuR
aXyAyay	i
prabanXay	prabaNX
samAxApay	Ap
vikopay	kup
ucCrApay	SrA
prajFApay	prajFA
AxiS	xiS
anuprApay	i
pravAray	pravq
SabxApay	xA
ekajvAlIBU	jval
SikRApay	i
sampreray	Ir
svAXyAy	i
ucCri	kq
icCApay	i
prawisaMvexay	vix
vigrAhay	vigrah
AGAway	Ahan
prawyakRIkq	kq
upasampax	ruh
pariBuj	Buj
parivAsay	As
sampravAxay	vax
anuSrAvay	Sru
aBivijFapay	jFA
samBq	Bq
sanXA	XA
awiwApay	i
yamay	yam
pariSram	kqS
praxuR	wqp
vixah	wqp
apawarpay	wqp
aBihu	Gq
aByaFj	svix
avaroXay	ruX
avaceRt	ceRt
saMsAray	saM  sq
nirmApay	mA
avAp	apasq
kAmarUpiwva	iR
purapAla	i
avalokayaw	lok
praveSa	pru
saspanxa	pru
upavah	xQ
sPutIkq	kq
uxboXay	buX
marxayiwvA	mqx
pramArjay	mqj
visarpay	sqp
jFAwum	iR
sawyasena	as
suveSa	sU
nqpawi	gras
safgA	swan
yogayogin	jan
prawivivarXay	vqX
avaBAvay	BU
nirguh	ifg
wiroBAvay	BU
Sabxay	SuB
parI	i
aBivarRay	vqR
wulay	AFc
samuxvij	vij
prawiXA	XA
sanwuR	eX
AGoRay	GuR
jAray	sq
avanam	vyaW
vyAxA	ax
vici	ci
viwarkay	wark
sambuX	buX
upekR	IkR
jIvApay	i
Ipsay	prer
saMsWA	sWA
avanAxay	ax
parimAray	mq
prawyanunI	nI
kRAmay	kRam
aBiXqR	XqR
prasah	sah
niRkrAmay	kram
aBivix	vix
upaplu	plu
paNay	paN
vinihan	han
vikrI	krI
praXAvay	vA
parivax	vax
mokRay	yA
AwAday	wad
unmajjay	majj
saMvijFA	jFA
AcCix	Cix
vilup	lup
aBiprawipAxay	pax
aByAsAxay	sax
prapA	pA
Alokay	lok
saFcinway	cinw
prawixA	xA
apavyaX	wras
niboXay	buX
sanwrAsay	sanwras
viliK	liK
samuwWApay	samuwsWA
vilamb	yam
parihApay	hA
safkrId	krId
prasaFj	eX
samplAvay	samplu
pariviBAvay	av
avaXyA	i
viramay	viram
afkay	xuR
vigal	lajj
vilokay	lajj
KaNday	vaFc
uxAs	As
praxrAvay	praxru
avalehay	Ih
aBilul	lal
anujFApay	i
proxi	swan
pariSIlay	SIl
AkarRay	kqR
wam	swan
miSrIkq	swan
upaSamay	upaSam
AGUrN	mIl
AvyaX	val
aBisamBU	BU
upajanay	upajan
upanimanwray	qc
aXyAropay	ruh
saMsiX	aS
vyAmohay	muh
vyAkulIBU	BU
aBisq	sq
prahAsay	prahas
avagamay	gam
anupraviS	Gat
praKyApay	i
aBiKyApay	KyA
aXiSI	SI
saMlag	raN
saMSI	raN
anwari	aFc
sanxA	sWag
nimiwwIkq	pax
safgamay	safgam
avalokay	lok
praBAsay	As
pariNAyay	pariNI
nirNI	paw
ASyAnay	an
avacCexay	avacCix
prawyavaskanxay	skanx
upaveRtay	veRt
niSA	lal
vyapaxeSay	vyapaxiS
uxBU	i
virAj	i
unmIlay	uxmIl
samuxaFcay	aFc
awI	praW
vilal	lal
niHSvas	val
aBiman	man
uxgam	sPut
niRkram	qj
viRAxay	visax
uwpaw	jval
ASrAvay	Sru
samApax	pax
anuparivAray	vq
upahvA	upahU
viRA	iR
AwApay	i
sanxiS	xiS
vyavahAray	vyavahq
vixarSay	xqS
vasay	yA
prawisaMskAray	kq
apakarRay	apakqR
apanASay	naS
